#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"viral segment Unknown","NC_001623.1",61016,61765,"+",1403904,"Ac-IAP2","ACNVgp072","NP_054101.1",249,"apoptosis inhibitor"
"viral segment Unknown","NC_001623.1",61824,62006,"+",1403905,"AcOrf-72","ACNVgp073","NP_054102.1",60,"AcOrf-72 peptide"
"viral segment Unknown","NC_001623.1",62015,62314,"-",1403906,"AcOrf-73","ACNVgp074","NP_054103.1",99,"AcOrf-73 peptide"
"viral segment Unknown","NC_001623.1",62311,63108,"-",1403907,"AcOrf-74","ACNVgp075","NP_054104.1",265,"AcOrf-74 peptide"
"viral segment Unknown","NC_001623.1",63126,63527,"-",1403908,"AcOrf-75","ACNVgp076","NP_054105.1",133,"AcOrf-75 peptide"
"viral segment Unknown","NC_001623.1",63543,63797,"-",1403909,"AcOrf-76","ACNVgp077","NP_054106.1",84,"AcOrf-76 peptide"
"viral segment Unknown","NC_001623.1",63813,64952,"-",1403910,"Ac-vlf-1","ACNVgp078","NP_054107.1",379,"very late expression factor 1"
"viral segment Unknown","NC_001623.1",64958,65287,"-",1403911,"AcOrf-78","ACNVgp079","NP_054108.1",109,"AcOrf-78 peptide"
"viral segment Unknown","NC_001623.1",65290,65604,"-",1403912,"AcOrf-79","ACNVgp080","NP_054109.1",104,"AcOrf-79 peptide"
"viral segment Unknown","NC_001623.1",65607,66836,"-",1403913,"Ac-gp41","ACNVgp081","NP_054110.1",409,"occlusion-derived virus glycoprotein"
"viral segment Unknown","NC_001623.1",66826,67527,"-",1403914,"AcOrf-81","ACNVgp082","NP_054111.1",233,"AcOrf-81 peptide"
"viral segment Unknown","NC_001623.1",67376,67918,"-",1403915,"Ac-TLP","ACNVgp083","NP_054112.1",180,"telokin-like protein-20"
"viral segment Unknown","NC_001623.1",67884,70427,"+",1403916,"Ac-p95","ACNVgp084","NP_054113.1",847,"viral capsid associated protein"
"viral segment Unknown","NC_001623.1",71165,71731,"+",1403917,"AcOrf-84","ACNVgp085","NP_054114.1",188,"AcOrf-84 peptide"
"viral segment Unknown","NC_001623.1",71934,72095,"+",1403918,"AcOrf-85","ACNVgp086","NP_054115.1",53,"AcOrf-85 peptide"
"viral segment Unknown","NC_001623.1",72131,74215,"-",1403919,"Ac-PNK/PNL","ACNVgp087","NP_054116.1",694,"polynucleotide kinase/ligase"
"viral segment Unknown","NC_001623.1",74356,74736,"+",1403920,"Ac-p15","ACNVgp088","NP_054117.1",126,"p15"
"viral segment Unknown","NC_001623.1",74737,75531,"-",1403921,"Ac-cg30","ACNVgp089","NP_054118.1",264,"hypothetical protein ACNVgp089"
"viral segment Unknown","NC_001623.1",75534,76577,"-",1403922,"Ac-vp39","ACNVgp090","NP_054119.1",347,"major viral capsid protein"
"viral segment Unknown","NC_001623.1",76596,77990,"+",1403923,"Ac-lef4","ACNVgp091","NP_054120.1",464,"late expression factor 4"
"viral segment Unknown","NC_001623.1",77987,78661,"-",1403924,"AcOrf-91","ACNVgp092","NP_054121.1",224,"AcOrf-91 peptide"
"viral segment Unknown","NC_001623.1",78699,79478,"-",1403925,"AcOrf-92","ACNVgp093","NP_054122.1",259,"AcOrf-92 peptide"
"viral segment Unknown","NC_001623.1",79477,79962,"+",1403926,"AcOrf-93","ACNVgp094","NP_054123.1",161,"AcOrf-93 peptide"
"viral segment Unknown","NC_001623.1",79971,80657,"+",1403927,"Ac-odv-e25","ACNVgp095","NP_054124.1",228,"occlusion-derived virus envelope protein"
"viral segment Unknown","NC_001623.1",80694,84359,"-",1403928,"Ac-helicase","ACNVgp096","NP_054125.1",1221,"helicase"
"viral segment Unknown","NC_001623.1",84346,84867,"+",1403929,"AcOrf-96","ACNVgp097","NP_054126.1",173,"AcOrf-96 peptide"
"viral segment Unknown","NC_001623.1",84839,85009,"+",1403930,"AcOrf-97","ACNVgp098","NP_054127.1",56,"AcOrf-97 peptide"
"viral segment Unknown","NC_001623.1",85021,85983,"-",1403931,"Ac-38K","ACNVgp099","NP_054128.1",320,"hypothetical protein ACNVgp099"
"viral segment Unknown","NC_001623.1",85918,86715,"+",1403932,"Ac-lef5","ACNVgp100","NP_054129.1",265,"late expression factor 5"
"viral segment Unknown","NC_001623.1",86712,86879,"-",1403933,"Ac-p6.9","ACNVgp101","NP_054130.1",55,"basic protein"
"viral segment Unknown","NC_001623.1",86921,88006,"-",1403934,"Ac-p40","ACNVgp102","NP_054131.1",361,"hypothetical protein ACNVgp102"
"viral segment Unknown","NC_001623.1",88026,88394,"-",1403935,"AcOrf-102","ACNVgp103","NP_054132.1",122,"AcOrf-102"
"viral segment Unknown","NC_001623.1",88375,89538,"-",1403936,"Ac-p48","ACNVgp104","NP_054133.1",387,"hypothetical protein ACNVgp104"
"viral segment Unknown","NC_001623.1",89564,91639,"+",1403937,"Ac-vp80","ACNVgp105","NP_054134.1",691,"viral capsid associated protein"
"viral segment Unknown","NC_001623.1",91667,93328,"-",1403938,"Ac-HE65","ACNVgp106","NP_054135.1",553,"hypothetical protein ACNVgp106"
"viral segment Unknown","NC_001623.1",93873,94058,"+",1403939,"AcOrf-106","ACNVgp107","NP_054136.1",61,"AcOrf-106 peptide"
"viral segment Unknown","NC_001623.1",94059,94391,"+",1403940,"AcOrf-107","ACNVgp108","NP_054137.1",110,"AcOrf-107 peptide"
"viral segment Unknown","NC_001623.1",94392,94709,"-",1403941,"AcOrf-108","ACNVgp109","NP_054138.1",105,"AcOrf-108 peptide"
"viral segment Unknown","NC_001623.1",94721,95893,"-",1403942,"AcOrf-109","ACNVgp110","NP_054139.1",390,"AcOrf-109 peptide"
"viral segment Unknown","NC_001623.1",95929,96099,"-",1403943,"AcOrf-110","ACNVgp111","NP_054140.1",56,"AcOrf-110 peptide"
"viral segment Unknown","NC_001623.1",96148,96351,"-",1403944,"AcOrf-111","ACNVgp112","NP_054141.1",67,"AcOrf-111 peptide"
"viral segment Unknown","NC_001623.1",96521,96784,"+",1403945,"AcOrf-112","ACNVgp113","NP_054142.1",87,"AcOrf-112 peptide"
"viral segment Unknown","NC_001623.1",96789,97298,"+",1403946,"AcOrf-113","ACNVgp114","NP_054143.1",169,"AcOrf-113 peptide"
"viral segment Unknown","NC_001623.1",97886,99160,"-",1403947,"AcOrf-114","ACNVgp115","NP_054144.1",424,"AcOrf-114 peptide"
"viral segment Unknown","NC_001623.1",99182,99796,"-",1403948,"AcOrf-115","ACNVgp116","NP_054145.1",204,"AcOrf-115 peptide"
"viral segment Unknown","NC_001623.1",99804,99974,"-",1403949,"AcOrf-116","ACNVgp117","NP_054146.1",56,"AcOrf-116 peptide"
"viral segment Unknown","NC_001623.1",99910,100197,"+",1403950,"AcOrf-117","ACNVgp118","NP_054147.1",95,"AcOrf-117 peptide"
"viral segment Unknown","NC_001623.1",100231,100704,"-",1403951,"AcOrf-118","ACNVgp119","NP_054148.1",157,"AcOrf-118 peptide"
"viral segment Unknown","NC_001623.1",100699,102291,"+",1403952,"AcOrf-119","ACNVgp120","NP_054149.1",530,"AcOrf-119 peptide"
"viral segment Unknown","NC_001623.1",102296,102544,"+",1403953,"AcOrf-120","ACNVgp121","NP_054150.1",82,"AcOrf-120 peptide"
"viral segment Unknown","NC_001623.1",102647,102823,"+",1403954,"AcOrf-121","ACNVgp122","NP_054151.1",58,"AcOrf-121 peptide"
"viral segment Unknown","NC_001623.1",102713,102901,"-",1403955,"AcOrf-122","ACNVgp123","NP_054152.1",62,"AcOrf-122 peptide"
"viral segment Unknown","NC_001623.1",102964,103611,"-",1403956,"Ac-pk-2","ACNVgp124","NP_054153.1",215,"protein kinase"
"viral segment Unknown","NC_001623.1",103793,104536,"+",1403957,"AcOrf-124","ACNVgp125","NP_054154.1",247,"AcOrf-124 peptide"
"viral segment Unknown","NC_001623.1",104553,105233,"-",1403958,"Ac-lef7","ACNVgp126","NP_054155.1",226,"late expression factor 7"
"viral segment Unknown","NC_001623.1",105282,106937,"-",1403959,"Ac-chitinase","ACNVgp127","NP_054156.1",551,"chitinase"
"viral segment Unknown","NC_001623.1",106983,107954,"+",1403960,"Ac-v-cath","ACNVgp128","NP_054157.1",323,"viral cathepsin-like protein"
"viral segment Unknown","NC_001623.1",108179,109717,"-",1403961,"Ac-gp64","ACNVgp129","NP_054158.1",512,"major budded virus envelope glycoprotein"
"viral segment Unknown","NC_001623.1",109900,110496,"+",1403962,"Ac-p24","ACNVgp130","NP_054159.1",198,"viral capsid protein"
"viral segment Unknown","NC_001623.1",110524,110844,"+",1403963,"Ac-gp16","ACNVgp131","NP_054160.1",106,"hypothetical protein ACNVgp131"
"viral segment Unknown","NC_001623.1",110903,111661,"+",1403964,"Ac-PE/pp34","ACNVgp132","NP_054161.1",252,"major polyhedral calyx protein"
"viral segment Unknown","NC_001623.1",111873,112532,"+",1403965,"AcOrf-132","ACNVgp133","NP_054162.1",219,"AcOrf-132 peptide"
"viral segment Unknown","NC_001623.1",112560,113819,"+",1403966,"Ac-alk-exo","ACNVgp134","NP_054163.1",419,"alkaline exonuclease"
"viral segment Unknown","NC_001623.1",113870,116281,"-",1403967,"Ac-94K","ACNVgp135","NP_054164.1",803,"hypothetical protein ACNVgp135"
"viral segment Unknown","NC_001623.1",116492,117391,"+",1403968,"Ac-35K/p35","ACNVgp136","NP_054165.1",299,"annihilator"
"viral segment Unknown","NC_001623.1",118044,118766,"+",1403969,"Ac-p26","ACNVgp137","NP_054166.1",240,"hypothetical protein ACNVgp137"
"viral segment Unknown","NC_001623.1",118839,119123,"+",1403970,"Ac-p10","ACNVgp138","NP_054167.1",94,"fibrous body protein"
"viral segment Unknown","NC_001623.1",119135,121072,"-",1403971,"Ac-p74","ACNVgp139","NP_054168.1",645,"occlusion-derived virus envelope protein"
"viral segment Unknown","NC_001623.1",121205,122554,"-",1403972,"Ac-ME53","ACNVgp140","NP_054169.1",449,"DNA synthesis regulator"
"viral segment Unknown","NC_001623.1",122625,122807,"+",1403973,"AcOrf-140","ACNVgp141","NP_054170.1",60,"AcOrf-140 peptide"
"viral segment Unknown","NC_001623.1",122832,128946,"+",1403988,"Ac-IE-01","ACNVgp142","NP_054171.1",636,"putative early gene transactivator"
"viral segment Unknown","NC_001623.1",122832,123617,"+",1403974,"Ac-IE-0","ACNVgp143","NP_054172.1",261,"hypothetical protein ACNVgp143"
"viral segment Unknown","NC_001623.1",123632,125065,"+",1403975,"Ac-49K","ACNVgp144","NP_054173.1",477,"early 49 Daa protein"
"viral segment Unknown","NC_001623.1",125153,125341,"+",1403976,"Ac-odv-e18","ACNVgp145","NP_054174.1",62,"occlusion-derived virus envelope protein"
"viral segment Unknown","NC_001623.1",125357,126229,"+",1403977,"Ac-odv-ec27","ACNVgp146","NP_054175.1",290,"occlusion-derived virus envelope/capsid protein"
"viral segment Unknown","NC_001623.1",126299,126532,"+",1403978,"AcOrf-145","ACNVgp147","NP_054176.1",77,"AcOrf-145 peptide"
"viral segment Unknown","NC_001623.1",126527,127132,"-",1403979,"AcOrf-146","ACNVgp148","NP_054177.1",201,"AcOrf-146 peptide"
"viral segment Unknown","NC_001623.1",127198,128946,"+",1403980,"Ac-IE-1","ACNVgp149","NP_054178.1",582,"early gene transactivator"
"viral segment Unknown","NC_001623.1",129008,130138,"-",1403981,"Ac-odv-e56","ACNVgp150","NP_054179.1",376,"occlusion-derived virus envelope protein"
"viral segment Unknown","NC_001623.1",130167,130490,"-",1403982,"AcOrf-149","ACNVgp151","NP_054180.1",107,"AcOrf-149 peptide"
"viral segment Unknown","NC_001623.1",130456,130755,"+",1403983,"AcOrf-150","ACNVgp152","NP_054181.1",99,"AcOrf-150 peptide"
"viral segment Unknown","NC_001623.1",130857,132083,"-",1403984,"Ac-IE-2","ACNVgp153","NP_054182.1",408,"early gene transactivator"
"viral segment Unknown","NC_001623.1",132109,132387,"-",1403985,"AcOrf-152","ACNVgp154","NP_054183.1",92,"AcOrf-152 peptide"
"viral segment Unknown","NC_001623.1",132526,133491,"+",1403986,"Ac-PE38","ACNVgp155","NP_054184.1",321,"hypothetical protein ACNVgp155"
"viral segment Unknown","NC_001623.1",133591,133836,"+",1403987,"AcOrf-154","ACNVgp156","NP_054185.1",81,"AcOrf-154 peptide"
